,feature_code,x,y,z
62201,701,5056545.198,2359012.098,1781.381
210337,701,5056542.195,2359012.108,1796.235
210564,701,5056541.18,2359012.125,1796.236
210292,701,5056542.969,2359012.127,1795.168
210480,701,5056541.865,2359012.138,1794.976
210338,701,5056542.224,2359012.141,1794.998
210340,701,5056542.227,2359012.15,1792.889
62204,701,5056545.262,2359012.152,1779.969
210291,701,5056543.008,2359012.154,1796.196
210566,701,5056541.224,2359012.162,1795.032
62203,701,5056545.293,2359012.176,1781.344
62587,701,5056544.1,2359012.179,1788.227
63287,701,5056542.273,2359012.191,1791.576
62274,701,5056544.871,2359012.192,1781.353
210565,701,5056541.274,2359012.195,1796.236
210294,701,5056543.051,2359012.198,1795.034
210339,701,5056542.304,2359012.208,1794.919
62866,701,5056543.403,2359012.212,1788.671
62205,701,5056545.349,2359012.217,1779.627
210293,701,5056543.101,2359012.228,1796.208
210568,701,5056541.318,2359012.232,1795.007
210481,701,5056542.023,2359012.249,1796.237
62588,701,5056544.207,2359012.256,1788.341
210296,701,5056543.145,2359012.268,1795.001
210567,701,5056541.368,2359012.269,1796.233
62276,701,5056544.989,2359012.28,1781.663
62207,701,5056545.421,2359012.28,1778.527
210341,701,5056542.412,2359012.285,1794.976
210482,701,5056542.068,2359012.286,1794.993
210405,701,5056542.757,2359012.294,1796.235
62632,701,5056543.933,2359012.299,1789.401
210295,701,5056543.194,2359012.301,1796.243
210570,701,5056541.412,2359012.306,1794.998
62590,701,5056544.263,2359012.307,1787.303
63350,701,5056542.089,2359012.329,1791.446
210406,701,5056542.802,2359012.331,1794.992
210483,701,5056542.117,2359012.334,1794.231
210569,701,5056541.461,2359012.343,1796.234
210298,701,5056543.239,2359012.346,1795.011
62336,701,5056544.763,2359012.346,1786.632
62339,701,5056544.731,2359012.349,1779.326
62596,701,5056544.28,2359012.351,1778.612
63208,701,5056542.806,2359012.353,1790.172
62209,701,5056545.515,2359012.358,1778.546
63291,701,5056542.485,2359012.368,1789.883
210297,701,5056543.287,2359012.375,1796.278
210571,701,5056541.506,2359012.376,1794.998
62279,701,5056545.092,2359012.378,1778.586
62277,701,5056545.115,2359012.383,1782.941
62869,701,5056543.632,2359012.388,1789.557
210407,701,5056542.896,2359012.401,1794.987
62635,701,5056544.056,2359012.411,1787.491
210299,701,5056543.332,2359012.416,1795.055
210484,701,5056542.24,2359012.426,1794.984
210424,701,5056541.758,2359012.436,1796.234
62210,701,5056545.622,2359012.439,1778.619
210572,701,5056541.584,2359012.446,1795.002
62642,701,5056544.063,2359012.45,1778.521
62281,701,5056545.187,2359012.452,1778.567
63721,701,5056541.075,2359012.454,1792.07
62278,701,5056545.223,2359012.456,1783.005
62342,701,5056544.898,2359012.472,1781.536
62341,701,5056544.938,2359012.502,1783.189
210425,701,5056541.852,2359012.503,1796.229
210300,701,5056543.462,2359012.508,1796.156
62012,701,5056545.717,2359012.513,1778.582
63354,701,5056542.326,2359012.515,1790.01
62600,701,5056544.492,2359012.521,1778.882
63723,701,5056541.159,2359012.523,1791.827
62283,701,5056545.287,2359012.524,1778.276
62280,701,5056545.304,2359012.527,1782.88
62644,701,5056544.158,2359012.528,1778.502
63412,701,5056541.86,2359012.536,1791.926
62595,701,5056544.56,2359012.539,1787.946
210426,701,5056541.882,2359012.54,1794.946
62639,701,5056544.238,2359012.551,1787.034
210573,701,5056541.727,2359012.553,1796.241
62340,701,5056545.013,2359012.554,1785.942
62875,701,5056543.849,2359012.562,1787.652
63012,701,5056543.08,2359012.566,1789.829
210301,701,5056543.544,2359012.58,1795.995
63356,701,5056542.411,2359012.584,1789.744
210427,701,5056541.939,2359012.587,1793.848
62014,701,5056545.811,2359012.587,1778.566
63294,701,5056542.763,2359012.588,1790.048
63725,701,5056541.244,2359012.591,1791.572
63413,701,5056541.924,2359012.593,1791.188
62874,701,5056543.905,2359012.596,1789.272
62282,701,5056545.401,2359012.602,1782.761
62343,701,5056545.073,2359012.603,1784.728
62597,701,5056544.671,2359012.614,1787.916
210575,701,5056541.793,2359012.618,1793.449
210574,701,5056541.821,2359012.62,1796.232
210302,701,5056543.625,2359012.643,1795.876
63726,701,5056541.327,2359012.659,1791.344
62603,701,5056544.683,2359012.659,1782.089
63296,701,5056542.859,2359012.663,1789.953
63659,701,5056541.848,2359012.665,1792.442
62016,701,5056545.921,2359012.669,1778.57
210342,701,5056542.914,2359012.672,1796.24
62284,701,5056545.482,2359012.673,1782.605
62344,701,5056545.169,2359012.681,1784.644
63015,701,5056543.208,2359012.683,1788.362
62927,701,5056543.643,2359012.687,1787.79
62647,701,5056544.359,2359012.687,1778.573
62599,701,5056544.765,2359012.692,1787.875
210303,701,5056543.722,2359012.714,1795.722
63359,701,5056542.607,2359012.737,1790.041
62607,701,5056544.794,2359012.744,1782.669
62285,701,5056545.595,2359012.748,1782.458
62017,701,5056546.021,2359012.752,1778.947
63661,701,5056541.96,2359012.755,1790.329
62606,701,5056544.823,2359012.758,1783.415
62602,701,5056544.86,2359012.766,1787.85
210576,701,5056542.009,2359012.768,1796.222
62346,701,5056545.292,2359012.769,1785.399
62879,701,5056544.116,2359012.774,1786.93
63417,701,5056542.165,2359012.783,1790.243
210304,701,5056543.804,2359012.785,1795.582
210428,701,5056542.212,2359012.791,1796.214
62605,701,5056544.878,2359012.798,1785.733
63017,701,5056543.389,2359012.818,1787.979
63663,701,5056542.038,2359012.826,1790.321
62286,701,5056545.691,2359012.827,1782.381
210408,701,5056543.443,2359012.833,1795.002
62648,701,5056544.57,2359012.834,1782.26
210707,701,5056541.561,2359012.835,1792.692
62604,701,5056544.939,2359012.836,1787.816
62347,701,5056545.387,2359012.847,1785.331
210305,701,5056543.902,2359012.853,1795.407
62931,701,5056543.862,2359012.859,1789.139
210429,701,5056542.306,2359012.861,1796.216
62609,701,5056544.976,2359012.866,1785.548
62287,701,5056545.758,2359012.892,1781.512
63730,701,5056541.637,2359012.894,1792.143
62608,701,5056545.033,2359012.907,1787.786
63420,701,5056542.324,2359012.91,1789.449
62349,701,5056545.483,2359012.918,1785.265
210306,701,5056543.983,2359012.92,1795.287
62885,701,5056544.27,2359012.922,1779.066
63301,701,5056543.182,2359012.923,1788.148
63731,701,5056541.657,2359012.925,1790.601
210485,701,5056542.915,2359012.957,1796.229
210343,701,5056543.274,2359012.957,1796.233
62934,701,5056543.979,2359012.959,1786.815
62649,701,5056544.743,2359012.961,1784.867
62288,701,5056545.852,2359012.966,1781.524
62652,701,5056544.743,2359012.972,1781.518
210430,701,5056542.429,2359012.972,1794.987
62610,701,5056545.128,2359012.985,1787.757
210307,701,5056544.064,2359012.987,1795.181
62351,701,5056545.563,2359012.988,1785.202
63733,701,5056541.754,2359012.997,1790.478
210486,701,5056543.008,2359013.031,1796.238
210344,701,5056543.368,2359013.031,1796.231
62290,701,5056545.945,2359013.04,1781.53
62655,701,5056544.838,2359013.046,1781.493
62651,701,5056544.853,2359013.046,1785.505
62884,701,5056544.467,2359013.054,1786.003
62412,701,5056545.222,2359013.055,1787.721
62353,701,5056545.659,2359013.063,1785.093
63364,701,5056543.009,2359013.067,1788.242
62355,701,5056545.654,2359013.067,1780.629
210409,701,5056543.758,2359013.069,1796.242
62657,701,5056544.897,2359013.095,1779.664
62650,701,5056544.93,2359013.095,1788.227
62416,701,5056545.259,2359013.108,1781.496
62292,701,5056546.055,2359013.118,1781.529
62414,701,5056545.317,2359013.129,1787.683
62941,701,5056544.17,2359013.137,1780.031
62357,701,5056545.731,2359013.138,1780.031
63022,701,5056543.803,2359013.141,1789.002
210410,701,5056543.852,2359013.143,1796.226
210345,701,5056543.506,2359013.146,1794.991
62654,701,5056545.025,2359013.161,1788.153
210577,701,5056542.507,2359013.163,1794.994
62886,701,5056544.629,2359013.172,1788.39
62660,701,5056544.998,2359013.174,1780.023
62888,701,5056544.592,2359013.175,1780.001
62938,701,5056544.261,2359013.179,1786.13
62418,701,5056545.352,2359013.185,1781.53
62887,701,5056544.629,2359013.186,1785.059
62940,701,5056544.248,2359013.186,1782.687
62293,701,5056546.149,2359013.192,1781.535
62659,701,5056545.025,2359013.198,1781.506
62656,701,5056545.064,2359013.199,1785.857
62415,701,5056545.411,2359013.207,1787.664
62943,701,5056544.264,2359013.211,1780.031
210346,701,5056543.584,2359013.216,1795.006
62937,701,5056544.33,2359013.222,1788.507
63028,701,5056543.913,2359013.267,1780.332
62294,701,5056546.242,2359013.27,1781.536
62942,701,5056544.365,2359013.279,1783.717
62890,701,5056544.729,2359013.28,1781.514
62417,701,5056545.506,2359013.286,1787.635
63671,701,5056542.643,2359013.299,1788.542
210578,701,5056542.695,2359013.311,1794.978
62360,701,5056545.977,2359013.321,1781.537
63739,701,5056542.176,2359013.334,1789.171
62420,701,5056545.568,2359013.335,1786.317
63031,701,5056543.999,2359013.34,1780.007
62662,701,5056545.242,2359013.345,1785.597
62296,701,5056546.352,2359013.351,1781.535
62419,701,5056545.6,2359013.352,1787.608
63026,701,5056544.062,2359013.354,1788.638
63965,701,5056541.802,2359013.357,1789.772
210411,701,5056544.118,2359013.357,1796.236
210579,701,5056542.773,2359013.377,1794.992
63308,701,5056543.775,2359013.384,1788.893
62945,701,5056544.525,2359013.389,1785.542
62946,701,5056544.51,2359013.39,1781.505
63428,701,5056542.924,2359013.393,1787.87
62362,701,5056546.071,2359013.395,1781.532
63030,701,5056544.087,2359013.395,1782.915
210431,701,5056542.992,2359013.404,1794.989
62421,701,5056545.66,2359013.408,1786.39
210412,701,5056544.211,2359013.423,1796.24
63967,701,5056541.9,2359013.428,1789.632
62298,701,5056546.445,2359013.429,1781.565
62892,701,5056544.951,2359013.436,1786.0
63310,701,5056543.856,2359013.455,1788.752
63742,701,5056542.342,2359013.469,1788.76
63033,701,5056544.199,2359013.484,1783.484
62423,701,5056545.767,2359013.485,1786.509
63968,701,5056541.968,2359013.496,1789.396
210432,701,5056543.118,2359013.499,1796.258
62299,701,5056546.54,2359013.504,1781.501
210487,701,5056543.616,2359013.504,1795.013
62894,701,5056545.046,2359013.506,1785.982
63675,701,5056542.896,2359013.507,1787.778
63371,701,5056543.604,2359013.521,1788.842
62425,701,5056545.858,2359013.562,1786.63
62366,701,5056546.299,2359013.569,1783.139
210488,701,5056543.694,2359013.571,1794.994
63113,701,5056543.973,2359013.573,1783.124
210433,701,5056543.213,2359013.574,1796.222
63969,701,5056542.083,2359013.575,1789.815
210347,701,5056544.053,2359013.578,1795.0
63373,701,5056543.699,2359013.596,1788.809
63034,701,5056544.369,2359013.597,1785.539
62426,701,5056545.965,2359013.639,1786.741
63431,701,5056543.258,2359013.642,1788.989
62368,701,5056546.39,2359013.642,1783.254
63745,701,5056542.573,2359013.642,1789.569
63114,701,5056544.079,2359013.646,1783.279
62897,701,5056545.212,2359013.646,1785.541
